Temporada,Equipo,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44
1942-43,Real Oviedo,1,2,1,5,7,3,0,2,2,2,0,1,1,3,0,3,1,1,8,4,3,4,6,1,1,1,,,,,,,,,,,,,,,,,,
1942-43,Valencia,0,1,0,2,0,0,2,2,2,1,2,1,0,1,4,1,0,4,0,5,3,3,2,4,2,3,,,,,,,,,,,,,,,,,,
1942-43,Atlético Aviación,3,3,2,3,2,1,1,0,0,1,1,1,1,1,4,0,5,0,3,1,5,2,2,1,0,1,,,,,,,,,,,,,,,,,,
1942-43,Deportivo de La Coruña,1,2,1,2,1,1,1,0,0,1,1,0,1,2,4,2,1,1,0,3,1,1,2,1,0,2,,,,,,,,,,,,,,,,,,
1942-43,Real Madrid,0,1,1,3,0,2,3,4,1,3,1,1,1,5,3,0,1,3,4,2,0,3,0,3,2,3,,,,,,,,,,,,,,,,,,
1942-43,Espanyol,0,2,3,0,2,2,2,2,2,1,4,0,2,3,2,0,3,2,4,1,7,3,2,0,1,1,,,,,,,,,,,,,,,,,,
1942-43,Granada,2,2,2,3,1,7,2,4,3,3,3,0,5,2,1,0,2,8,1,2,1,4,3,2,2,3,,,,,,,,,,,,,,,,,,
1942-43,Real Zaragoza,6,3,2,1,3,0,0,3,2,3,2,1,1,4,1,2,4,1,7,1,0,3,2,0,3,2,,,,,,,,,,,,,,,,,,
1942-43,Betis,5,5,6,1,4,1,1,2,1,4,2,3,2,1,5,1,3,2,0,1,8,3,3,5,1,4,,,,,,,,,,,,,,,,,,
1943-44,Valencia,2,4,0,0,1,2,1,0,1,3,2,0,2,0,1,0,0,0,4,0,0,1,2,1,1,4,,,,,,,,,,,,,,,,,,
1943-44,Atlético Aviación,0,4,3,3,1,2,1,2,2,2,2,0,1,1,2,4,1,0,2,4,2,4,0,2,3,1,,,,,,,,,,,,,,,,,,
1943-44,Sevilla,2,3,0,8,2,0,0,1,2,0,3,3,5,1,1,0,2,1,2,0,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,
1943-44,Real Oviedo,5,1,2,1,0,3,2,2,2,5,3,1,1,0,1,0,2,1,2,3,0,2,1,3,2,2,,,,,,,,,,,,,,,,,,
1943-44,Castellón,1,2,0,1,1,2,1,1,1,4,2,2,0,0,0,3,0,3,0,2,0,3,2,1,2,2,,,,,,,,,,,,,,,,,,
1943-44,Barcelona,3,3,1,3,2,2,2,0,1,0,3,0,0,2,1,0,1,1,2,5,3,3,2,1,3,2,,,,,,,,,,,,,,,,,,
1943-44,Real Madrid,2,5,2,2,2,1,1,1,1,1,3,1,1,0,1,2,3,0,1,0,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,
1943-44,Granada,2,2,2,2,3,7,2,4,3,3,0,0,0,2,1,2,0,3,0,2,1,0,0,1,2,2,,,,,,,,,,,,,,,,,,
1943-44,Sabadell,5,0,4,0,5,0,9,0,3,4,4,5,1,1,2,1,4,0,0,3,0,4,1,2,2,0,,,,,,,,,,,,,,,,,,
1943-44,Athletic Club,3,1,3,2,2,3,4,1,1,3,1,1,1,1,1,1,0,0,5,1,3,1,5,2,0,5,,,,,,,,,,,,,,,,,,
1943-44,Espanyol,2,2,1,6,1,3,0,4,3,3,2,4,2,1,6,0,0,0,1,1,3,1,0,1,0,3,,,,,,,,,,,,,,,,,,
1943-44,Deportivo de La Coruña,2,3,2,3,2,3,2,4,2,1,0,0,3,3,0,3,4,0,2,2,4,2,7,2,4,4,,,,,,,,,,,,,,,,,,
1943-44,Real Sociedad,4,2,1,0,3,3,0,2,0,4,0,4,3,3,1,2,1,0,2,4,1,1,1,6,3,3,,,,,,,,,,,,,,,,,,
1943-44,Celta de Vigo,7,2,1,2,5,4,0,5,2,3,0,4,1,2,2,1,1,5,3,3,2,5,2,3,5,5,,,,,,,,,,,,,,,,,,
1944-45,Barcelona,1,1,2,0,1,1,0,1,0,1,0,4,1,2,6,1,1,0,0,2,0,1,0,2,2,0,,,,,,,,,,,,,,,,,,
1944-45,Real Madrid,4,0,2,1,2,0,0,0,0,1,3,1,0,1,2,0,4,1,1,1,5,2,0,0,3,1,,,,,,,,,,,,,,,,,,
1944-45,Atlético Aviación,1,2,0,0,3,2,1,0,1,5,0,4,3,2,1,2,1,0,0,3,1,4,1,0,1,3,,,,,,,,,,,,,,,,,,
1944-45,Real Oviedo,0,0,0,5,2,5,0,0,0,5,0,1,4,4,0,3,1,4,0,1,2,0,2,1,6,2,,,,,,,,,,,,,,,,,,
1944-45,Valencia,1,2,1,1,0,2,2,0,3,0,1,0,0,1,3,4,1,0,0,1,2,0,4,3,2,1,,,,,,,,,,,,,,,,,,
1944-45,Athletic Club,3,1,1,0,1,2,2,3,2,0,1,1,2,1,1,2,1,4,0,1,2,1,2,1,5,1,,,,,,,,,,,,,,,,,,
1944-45,Sporting de Gijón,0,3,4,2,6,0,2,1,3,0,2,2,1,1,2,2,0,1,2,5,0,0,2,1,0,4,,,,,,,,,,,,,,,,,,
1944-45,Castellón,1,2,4,1,0,3,0,2,0,2,0,1,0,0,8,3,3,0,2,1,1,4,3,5,0,4,,,,,,,,,,,,,,,,,,
1944-45,Espanyol,0,3,1,1,2,3,1,3,1,2,2,3,1,0,0,0,3,2,3,1,3,1,2,1,0,0,,,,,,,,,,,,,,,,,,
1944-45,Sevilla,1,2,0,3,0,5,1,1,2,4,2,1,3,3,1,2,0,3,2,2,0,4,3,1,3,0,,,,,,,,,,,,,,,,,,
1944-45,Murcia,3,1,5,1,4,1,1,0,4,1,2,2,2,0,9,2,4,0,1,0,2,0,3,4,5,1,,,,,,,,,,,,,,,,,,
1944-45,Granada,4,1,4,1,2,3,1,3,1,7,0,4,3,1,1,2,1,2,0,2,0,6,0,1,1,4,,,,,,,,,,,,,,,,,,
1944-45,Sabadell,1,2,4,1,2,2,8,0,0,1,2,1,1,1,4,3,2,1,5,1,6,2,2,8,6,1,,,,,,,,,,,,,,,,,,
1944-45,Deportivo de La Coruña,1,3,2,7,2,3,5,0,1,2,3,1,2,1,2,6,2,1,2,2,3,1,3,1,4,2,,,,,,,,,,,,,,,,,,
1945-46,Sevilla,1,3,2,1,2,1,2,1,2,1,1,1,3,1,4,2,1,1,0,1,0,4,0,1,0,1,,,,,,,,,,,,,,,,,,
1945-46,Barcelona,0,0,0,2,6,0,1,1,3,3,1,0,2,2,0,3,1,2,1,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,
1945-46,Athletic Club,1,2,0,4,0,0,1,1,4,3,1,0,1,2,1,1,1,1,0,1,4,3,0,1,3,2,,,,,,,,,,,,,,,,,,
1945-46,Real Madrid,1,0,1,2,1,1,1,1,2,1,0,1,3,3,0,1,1,1,2,1,0,1,0,2,3,0,,,,,,,,,,,,,,,,,,
1945-46,Real Oviedo,0,1,3,2,0,0,3,1,0,0,1,1,1,1,2,2,2,2,0,1,4,0,3,2,3,2,,,,,,,,,,,,,,,,,,
1945-46,Valencia,1,2,1,0,3,1,2,1,1,0,1,2,1,0,2,1,2,2,1,2,1,0,3,1,4,1,,,,,,,,,,,,,,,,,,
